Unnamed: 0,input,output,has_symptoms,allergens,labels
0,"Department of PulmonaryDear Sir/Madam,I am writing you from Dhaka, Bangladesh. I want to make online help with a senior Pulmonolgist.Patient is my wife. She is 37 and her name is AAAA Her symptoms are as follows01. Allergetic Rhinitis02. Allergent to dust  03. Sneezing & Running Nose frequently for 10 years.04. Bleeding from nose while taking nasal spray \""AVAMYS nasal spray\""Summary of her Diagnosis areTest                           Result* Cir Eosinophil Count  165 /cu mm * Serum IgE                 83.60 IU/ml* Skin Allergy(Hypersensitivity) Test  Name of Allergen=Coconut-4, Beef-4She is Taking the following medicines01. Avamys Nasal Spray 0+0+102. Tab Provair 10 mg  0+0+103. Tab Unicortin 400 mg 0+0+1/204. Seretide Evohaler   1+0+1In this circumstances i would like to help you better consultation and diagnosis.Waiting for your reply eagerly.With",THESE ARE ALLERGIES ALLERGIES ARE CONTROLLING FOR DISEASE BUT NOT CURING YOU ALL SYMPTOMS ARE OF ALLERGIC RHINITIS SINUSITISWHEN DISEASE GROWS THESE MEDICINES CANNOT CONTROL DISEASE SOMETIME AND GO INTO NEXT SYSTEM SUGGEST YOU TO GET SKIN PRICK ALLERGY TEST IN WHICH YOU CAN FIND OUT TO WHICH THINGS TO ARE ALLERGIC FOODS CLOTHES POLLEN AND DUSTSELIMINATE FOOD AND FOR DUST AND POLLEN GO FOR IMMUNOTHERAPY WILL HAVE PROMISING RESULTS BECAUSE YOUR AGE IS GOOD FOR RECOVERY,1,dust,Environmental
1,"My 2 year old has had a rash / hives in her diaper area front and back chronically, but has been worsening over the last 6 weeks. She does have a dairy and egg white allergy, but it has been eliminated from her diet all together although she has had 2 very minor exposures. Now the rash is visible red raised welt-like hives that flare and we treat with Triamcinolone that was prescribed by her pediatrician. Should we be looking for another cause of the hives? Her diapers or pull ups? She has no other symptoms except she get s a small patch below her mouth and on her cheek at the same time.","Hi... Thank you for consulting in Chat Doctor. Skin conditions are best diagnosed only after seeing directly. I suggest you to upload photographs of the same on this website, so that I can guide you scientifically.  Hope my answer was helpful for you.  I am happy to help any time. Further clarifications and consultations on Chat Doctor are welcome. If you do not have any clarifications, you can close the discussion and rate the answer. Wish your kid good health.",1,dairy,Food
2,"i get cold that is in the form of allergy (that is running nose and sneezing) almost after masturbation or even if i get night fall. I am 100 % sure about it , if i dont do masturbation for say 7 - 10 days then i dont get cold (allergy that is running nose and sneezing) for that period of time . Sneezing continouly for 20-25 times is too much to handle for me","Hello, thanks for your query, I think u have honeymoon rhinitis, any way, sequence of sneezes, running nose, itching in ears, itching in roof of mouth, blackness under eyes are the symptoms of allergic rhinitis. It is best prevented by not to expose to cold, dust, not to consume ice creams, fridge water, curd. Best street meet is Adams(fluticasone) nasal spray twice daily, tab. Monte- LC (montelukast+cetirizine once daily at bedtime. All the best. Take care.",1,dust,Environmental
3,I have been sick for few months now. I had hives on my face first and then my lymph nodes got swollen and it hurted. I started having breathing problems and I still have breathing problems scince then. My tonsils are swollen too. I had periods 2 times in january of this year. And i have geogrophical tongue. its still there. I dont know what could it be? when I go to doctor they tell me its an allergy.,"Hi! Geographical tongue is usually related to glossies, however, there are some instances that yeast overgrowth in the stomach can cause tonsils, pain in the submandibular lymph nodes/ pain and lymph adenopathy and later on will result to glossies. As we know that yeast can grow in an acidic environment and sugar-laden environment. However, there are several causes that the tongue may swell and that could be caused by allergens, nutritional deficiencies and/ or infections. If the swelling of your tongue/ glossies/ geographic tongue is caused by allergens then probably that is also the cause of your hives on the face. We need to treat the cause of your geographic tongue, if you think it is from yeast overgrowth in the stomach, then, a diet modification will do. Like avoiding acidic foods and beverages, avoiding cheese, nuts or those foods that is high in sugar and at the same time a probiotic Chat Doctor.  If you think it is caused by allergy then avoiding all the foods and allergens is the mainstay of prevention, and at the same time taking an antihistamine",1,cheese,Food
4,"10 year old daughter. Bad seasonal allergies (pollen). Our doctor suspicious of asthma. Has been using an inhaler for a little over a week. Also taking prescription Singulair and otc Claritin. Flonase, as well. Breathing and allergy symptoms have improved, but tonight has developed small to large patches of hives all over her body. Warm to touch and very itchy. To my knowledge, no exposure to poison ivy","Hello dear, Hives is like fire you should disguise quickly. I suggest",1,pollen,Environmental
5,"hi,i am suffering for last four months from urticaria{i have allergic rashes all over my body especially over my face and head}first there is icthing then the part swells like a mosquito bite,i have done my allergic skin test which revealed that i am allergic to lot of things including food as wellas dust, i have taken 1 month course of allegra and levorid,and after that 2mnths of only levorid,can u please help me with further plan of action cos i still have symptoms if i eat those prohibited things like chicken,coriender","Hello. Thank you for asking at Chat Doctor. I went through your history. I would like to know your age, sex, any other diseases you have, any other medications you are taking, any other allergic disorders you have, etc. Furthermore, I would also like to know detailed description of your urticaria symptoms. However, from your history, I would like to suggest you as follows",1,"mosquito, bite, dust",Insect
6,I was suffering from allergic rhinits a month ago for which i took relent OD(dr reddy)  containing levocet.. + ambroxol and one steroidal nasal spray both for 21 days - both one per day.  i got completely cured. now after one month i have again started sneezing.  mild earache also.,"Hi,first consult an ENT specialist and get your oropharynx examined for inflammation of your pharyngeal tonsils which is a common cause of recurrent middle ear congestion and ear ache, it can also cause rhinitis and breathing problems. You should also go for X-ray of paranasal sinuses for detection of chronic sinusitis, polypoid or any other pathology. If you are sensitive to cold and environmental pollution then avoid exposure as much as possible, you can go for complete panel allergen test and subsequent desensitization if possible, you should also go for total and differential count of WBC for eosinophilic and its subsequent management. Your developing allergy can be managed completely if not ignored otherwise.thanks.",1,pollution,Environmental
7,"I have allergic asthma. Once I was prescribed to take montair fx along witChatDoctorbihale and asthalin for 30 days. I was suggested to use asthalin liberally. After the course, my wheezing was down till a month or so. But gradually over the time the condition is that, i have it everyday. One day I took montair fx and it reduced for two days. I have been taking it since then. Now, wheezing doesn t reduce with the intake of inhalers. It reduces only with montair fx. What are the side effects of prolonged use of montair fx ? Any other remedy to cure/reduce my asthma attacks ?","Thanks for your question on Chat Doctor. I can understand your concern. Asthma is allergic disease. It needs regular treatment in the form of anti-allergic Chat Doctor.  Best way to control allergy is identification of allergen and if possible complete avoidance of it. So avoid dust, pollen, mites, animal fur, smoke etc. Wear face mask every time you go outside home. Montage FX is having montelukast and fexofenadine. Montelukast is anti-allergic",1,"dust, pollen",Environmental
8,"I am prone to allergies (dust, pollen etc). I woke up this morning with a pretty bad case of sneezing. By this afternoon, whenever i sneeze, my breasts hurt; like tiny pinpricks or stinging all over them. The pain lasts for about 3-5 minutes after the sneeze. is this normal in allergic rhinitis?","You appear to suffer from Allergic Rhinitis.It's common to have cold and sneezing in the early morning. As cold air is a powerful trigger of allergy, but is not medically desirable to continue suffering like this. You need to first take a PNS X-ray & role out sinus involvement also. Then you would be suffering with Rhine sing bronchial allergy. Which require more care.1) you need to start an antihistamine like tab. Montec-Lc one tab per day for 15 days initially(only at night after dinner)2) you need to take nasal inhaler namely Donate spray per nostril per day.3) do not get exposed immediately from to be Chat Doctor.",1,"dust, pollen",Environmental
9,"Have swollen eyes, red almost burnt like patches on side of face, itching and burning/itching under my ear lopes what is this. Say allegry  doctor a week ago. allergic to grass, birch. ragweed. dont think this is causing anything at this time of year..From Minnesota","Hi and welcome to ChatDoctorFrom your description it does seem like an allergic reaction. The causes maybe various-food items, dust, pollen, outdoor plants, any recent outdoor activity, new cosmetics or jewelry(earrings), also could be due to sun exposure which may have aggravated an allergy. Did you take any new medication? In any case keep a note of whether it is increasing and if there are any factors which cause it to increase. Does anyone around have similar complaints? Take a course of antihistamines like fexofenadine daily for a week. If the rash is severe apply a light layer of fluticasone cream at night for a week and stop. During the day you can use a soothing lotion with calamine/aloe vera for the face. Use a gentle cleanser. If it persists inspire of treatment consult your dermatologist. Also, you can do tests for allergy sensitivity if required. Do remember, if you are allergic to something, you must be careful to avoid it, as any re exposure will cause a reaction again. So keep a track of such events. Hope this helps.",1,"dust, pollen",Environmental
